	Unnamed: 0	sentence	label	topic_label	old_word_based_cf_sentence	cf_sentence
3023	3023	i hope you enjoy this winter in your car that doesnt have 4 wheel drive	1	0	i hope you enjoy this winter in your car that doesnt have 4 wheel drive	I hope y'all enjoy this winter in y'all car that don't have 4 wheel drive.
3024	3024	_twitter-entity_ , sometimes i type your name in the pandora radio & amp ; & amp ; pray something pops up lol	1	1	_twitter-entity_ , sometimes i type your name in the pandora radio & amp ; & amp ; pray something pops up lol	Sometimes I type your name in the Pandora radio and hope something comes up. Haha.
3025	3025	he said he's going to at &amp; t first thing in the morning for his emojis	0	0	he said he's going to at &amp; t first thing in the morning for his emojis	He said he's gonna holla at &amp; T first thing in the mornin' for his emojis.
3026	3026	i done hit rock bottom over you ...., youuuuu	0	1	i done hit rock bottom over you ...., youuuuu	I have reached my lowest point because of you...., youuu.
3027	3027	i ain't even see toni yesterday '	0	1	i ain't even see toni yesterday '	I didn't even see Toni yesterday.
3028	3028	goodnight nickas : )	1	1	goodnight nickas : )	Goodnight, Nick! : )
3029	3029	i just want a big bowl of ice cream .	0	0	i just want a big bowl of ice cream .	I just wanna a big ol' bowl of ice cream.
3030	3030	girls that can sing &gt; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ;	0	1	girls that can sing &gt; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ;	"& gt ;

Girls who can sing."
3031	3031	â _twitter-entity_ : i never get goodmorning texts . âgooodmorning	0	1	â _twitter-entity_ : i never get goodmorning texts . âgooodmorning	I never get any good morning messages. Good morning!
3032	3032	_twitter-entity_ yo logan really blocked us	0	1	_twitter-entity_ yo logan really blocked us	"inna bad way

_Twitter-entity_ Logan really shut us down in a bad way."
3033	3033	i wish we has a delay instead of no school where gonna be in school till july	0	0	i wish we has a delay instead of no school where gonna be in school till july	I wish we hadda delay instead of no school, we gon' be in school until July!
3034	3034	come home already i want to see youuu	0	0	come home already i want to see youuu	Come home already, I wanna see you, sho nuff!
3035	3035	class at 8 am is gunna kick my butt .... why can i not sleep	0	0	class at 8 am is gunna kick my butt .... why can i not sleep	Class at 8 AM gon' be the death of me... Why ain't I able to get no sleep?
3036	3036	i had a dream that i messed us the whole dance recital	1	0	i had a dream that i messed us the whole dance recital	I had a dream I totally fudged up the whole dance recital.
3037	3037	soooo glad rutgers is taking my calc i credits from rv . i would literally die if i had to take that again . now on to calc ii .	0	0	soooo glad rutgers is taking my calc i credits from rv . i would literally die if i had to take that again . now on to calc ii .	Sooo glad Rutgers is takin' my Calc I credits from RV. I would literally DIE if I had ta take that again. Now on ta Calc II.
3038	3038	"\ _twitter-entity_ : i've been thinkinnn about nayana "" lmaooo i'm slowwww """	1	1	"\ _twitter-entity_ : i've been thinkinnn about nayana "" lmaooo i'm slowwww """	I've been pondering about Nayana - ha, I'm being sluggish!
3039	3039	â _twitter-entity_ : â _twitter-entity_ : i was laying on my back then ask ole boy âyou pettyâlol tyra the one asked	1	1	â _twitter-entity_ : â _twitter-entity_ : i was laying on my back then ask ole boy âyou pettyâlol tyra the one asked	"that



""I was lying on my back and then I asked this guy, 'Are you being petty?' Haha, Tyra was the one who asked that."""
3040	3040	i hate doing laundry	0	0	i hate doing laundry	I can't stand doin' laundry.
3041	3041	i swear my bitch pussy so good i don't trust her	1	1	i swear my bitch pussy so good i don't trust her	I swear, my girlfriend's intimate area is so good that I don't trust her.
3042	3042	this growing pain in my leg & lt ; & lt ; & lt ;	0	0	this growing pain in my leg & lt ; & lt ; & lt ;	"& lt ; has been really hard

This growing pain in my leg >>>>>>>> has been really hard to deal with."
3043	3043	where my bestfriend at when i need her	0	1	where my bestfriend at when i need her	Where is my best friend when I need her?
3044	3044	how can i eat a salad if i don't have any friggin ranch dressing !!!!?? #defeated	0	0	how can i eat a salad if i don't have any friggin ranch dressing !!!!?? #defeated	How can I eat a salad if I ain't got no dang ranch dressing !!!!?? #defeated
3045	3045	_twitter-entity_ me backk	1	1	_twitter-entity_ me backk	Tweet me back.
3046	3046	who tranna get on oovoo with me nd skylar ? we bored	0	1	who tranna get on oovoo with me nd skylar ? we bored	Who wants to join me and Skylar on Skype? We're bored.
3047	3047	_twitter-entity_ nothing happened lol . i just was thinking , ain't no dick that good to be having me stressed out like this â	1	1	_twitter-entity_ nothing happened lol . i just was thinking , ain't no dick that good to be having me stressed out like this â	Nothing happened lol. I was just thinking, no one is that amazing to have me so stressed out like this.
3048	3048	i just want to go home	0	0	i just want to go home	I jes' wanna go home.
3049	3049	can that video of that african & amp ; that drunk stripper get the fvck out my tl ? shit .	1	1	can that video of that african & amp ; that drunk stripper get the fvck out my tl ? shit .	Can that video of the African and the intoxicated dancer please leave my timeline? Gosh.
3050	3050	can you say carpal-tunnel	0	0	can you say carpal-tunnel	Can you say carpal-tunnel?
3051	3051	â _twitter-entity_ : _twitter-entity_ -.- lolâ lmfaoooooooo gotcha	1	1	â _twitter-entity_ : _twitter-entity_ -.- lolâ lmfaoooooooo gotcha	"<3

""_Twitter-entity_: _Twitter-entity_ -.- hahaha, gotcha!"" lol, that's amazing <3"
3052	3052	_twitter-entity_ i know , it seems you have a lot of fun writing me in scripts	1	0	_twitter-entity_ i know , it seems you have a lot of fun writing me in scripts	I know, it 'pears like you be havin' a whole lotta fun writin' me in dem scripts.
3053	3053	_twitter-entity_ naw not dat lol and y u aint tell me u was round the way	0	1	_twitter-entity_ naw not dat lol and y u aint tell me u was round the way	No, not that, ha ha, and why didn't you tell me you were around here?
3054	3054	sike college basketball is calming me down	1	0	sike college basketball is calming me down	Sike, college basketball be chillin' me out.
3055	3055	i wish i could talk to you all day	1	0	i wish i could talk to you all day	I wish I could kick it wit'chu all day!
3056	3056	_twitter-entity_ i . would . be . so . pissed .	1	0	_twitter-entity_ i . would . be . so . pissed .	"if. he. showed. up

I'd be so mad if he showed up!"
3057	3057	_twitter-entity_ its my stomach it been actn all crazy	0	1	_twitter-entity_ its my stomach it been actn all crazy	It's my stomach, it's been acting really strange.
3058	3058	i love a girl who smokes a stoner chick is what cotty needs	1	1	i love a girl who smokes a stoner chick is what cotty needs	I love a girl who smokes; a hippie girl is what Cotty needs.
3059	3059	_twitter-entity_ ugh , fine ! you make a very good point it's going to be insane !	1	0	_twitter-entity_ ugh , fine ! you make a very good point it's going to be insane !	Ugh, fo' sho'! You makin' a real good point, it's gonna be cray-cray!
3060	3060	rainy days are the best , but having to go to school on days like today are the worst . âï¸	0	0	rainy days are the best , but having to go to school on days like today are the worst . âï¸	Rainy days be poppin', but havin' ta go ta school on days like this be a drag.
3061	3061	when your friends send you random picture of their dicks ... what the fuck hahahaha . #freeeeaaakks .	1	0	when your friends send you random picture of their dicks ... what the fuck hahahaha . #freeeeaaakks .	When yo homeboys send ya dem random pics a' dere dongs... what da heck lmao. #turntup.
3062	3062	not having service in my aunt and grandma's houses is killing me	0	0	not having service in my aunt and grandma's houses is killing me	Not havin' service in my auntie's and grandma's houses is 'bout to drive me crazy.
3063	3063	these niggas live together and are tweeting at each other	1	0	these niggas live together and are tweeting at each other	These folks livin' together and tweetin' at one another.
3064	3064	_twitter-entity_ goodmorning and dm	1	1	_twitter-entity_ goodmorning and dm	"me if yall need help

Good morning and let me know if you need any help."
3065	3065	_twitter-entity_ love u bro	1	1	_twitter-entity_ love u bro	I really appreciate you, bro!
3066	3066	"_twitter-entity_ well i know this one is about me . so you should change that to \one of my tweets is about you "" then tag me in it #funny """	1	0	"_twitter-entity_ well i know this one is about me . so you should change that to \one of my tweets is about you "" then tag me in it #funny """	"Well, I KNOW this one be about me, so you should switch that to ""One of MY tweets be about you, den tag me in it #funny!"""
3067	3067	why do guys have to be such players ? i promise you it's not that hard to stick to one female !!	0	0	why do guys have to be such players ? i promise you it's not that hard to stick to one female !!	Why do guys have to be so slick? I'm tellin' you, it ain't that hard to stick to just one lady!!
3068	3068	_twitter-entity_ well one reason is that my basketball team is now going to like lose every game but other stuff too	0	0	_twitter-entity_ well one reason is that my basketball team is now going to like lose every game but other stuff too	Well shucks, one reason is mah basketball team gone start losin' all they games, but then thar're some other thangs too.
3069	3069	_twitter-entity_ so true #disappointing	0	0	_twitter-entity_ so true #disappointing	So true, yo! #disappointed fam!
3070	3070	_twitter-entity_ i did	1	0	_twitter-entity_ i did	"a great job

I done did a mighty fine job!"
3071	3071	_twitter-entity_ you lil bih	1	1	_twitter-entity_ you lil bih	"need to stop!

You little buddy need to stop!"
3072	3072	â _twitter-entity_ : ;; i don't wanna vent to anybody . i'm just gone go to sleep ! â you can vent to me bookie	0	1	â _twitter-entity_ : ;; i don't wanna vent to anybody . i'm just gone go to sleep ! â you can vent to me bookie	You don't want to talk to anybody? I'm here if you need to talk, buddy. Let's just get some sleep.
3073	3073	i ain't had to go trick or treating cause when i get to school tmmrw i'm finessing everybody lmaoo	1	1	i ain't had to go trick or treating cause when i get to school tmmrw i'm finessing everybody lmaoo	I haven't had to go trick or treating because when I get to school tomorrow I am convincing everyone ha ha.
3074	3074	man .. i hate when people be tryin tell me shit i already know	0	1	man .. i hate when people be tryin tell me shit i already know	Man, I hate it when people try to tell me things I already know.
3075	3075	i hate when i have plans with someone and they don't pick up their phone .	0	0	i hate when i have plans with someone and they don't pick up their phone .	I can't stand it when I got plans wit somebody and they ain't pickin' up they phone.
3076	3076	_twitter-entity_ no you do not traffic is horrible i'm here now lol	0	0	_twitter-entity_ no you do not traffic is horrible i'm here now lol	No shawty, you ain't got ta worry 'bout no traffick, I'm right here wit ya, fam! Lol!
3077	3077	in other news i work until friday	1	0	in other news i work until friday	In other news, I be workin' 'til Friday.
3078	3078	finna eat & amp ; watch movies w/ mama & amp ; breshia	1	1	finna eat & amp ; watch movies w/ mama & amp ; breshia	I'm gonna eat and watch movies with my mom and my sister.
3079	3079	congratulations on your downgrade . she's one hell of a 4	1	0	congratulations on your downgrade . she's one hell of a 4	".9 GPA

Congrats on ya downgrade! She's definitley had a bomb 4.9 GPA!"
3080	3080	me : i wish i was a boy they don't have drama sarah : boys have problems toome : like what sarah sarah : isabelle do you get random boners	1	0	me : i wish i was a boy they don't have drama sarah : boys have problems toome : like what sarah sarah : isabelle do you get random boners	Me: I wish I was a boy, they ain't got no drama. Sarah: Boys got problems too. Me: Like what, Sarah? Sarah: You ever get dem random boners, Isabelle?
3081	3081	_twitter-entity_ _twitter-entity_ maybe he will forget	1	0	_twitter-entity_ _twitter-entity_ maybe he will forget	"about it

Tweets and tweets, maybe he gon' let it slide."
3082	3082	ya know ? i don't even care .....	0	1	ya know ? i don't even care .....	You know, I don't really care...
3083	3083	it's hot but i love it âââ	1	0	it's hot but i love it âââ	It's hot but I'm lovin' it!
3084	3084	survived the first round of black friday .	1	0	survived the first round of black friday .	Survived de first round of Black Friday.
3085	3085	_twitter-entity_ no fair i never got the question	0	1	_twitter-entity_ no fair i never got the question	No way, I never got the question.
3086	3086	--- up studyin for my 1st final today !! hope i pass !!	1	1	--- up studyin for my 1st final today !! hope i pass !!	--- Getting ready to study for my first final today!! Hoping I pass!!
3087	3087	cuz in the end everyone get what they truly deserve ...	1	0	cuz in the end everyone get what they truly deserve ...	Cuz in the end, everybody git what they rightly deserve...
3088	3088	ohhhhhh fuck no i done deleted my whole call log i'm pissed	0	1	ohhhhhh fuck no i done deleted my whole call log i'm pissed	Oh no, I completely deleted my call log and I'm really annoyed.
3089	3089	you can get away with anything with them ....	1	0	you can get away with anything with them ....	You can get away wit' anythin' wit' dem...
3090	3090	_twitter-entity_ lol oooh yea . lol	0	1	_twitter-entity_ lol oooh yea . lol	Ha ha, oh yeah. Ha ha.
3091	3091	y'all dont know what im going through over here	0	1	y'all dont know what im going through over here	You all don't know what I'm going through here.
3092	3092	i got a lot going on right now ...	1	1	i got a lot going on right now ...	I have a lot going on right now...
3093	3093	i could never get back together with someone who cheated on me and if i did it'd only be to get them back then dump them after	1	0	i could never get back together with someone who cheated on me and if i did it'd only be to get them back then dump them after	I ain't ever getting back wit' no one who cheated on me and even if I end up doing it, it'd only be to get them back, then I'ma dump 'em afta.
3094	3094	_twitter-entity_ i miss my cousin	0	0	_twitter-entity_ i miss my cousin	I miss my cuz.
3095	3095	"\ i had too many alcohols last night "" _twitter-entity_ """	1	0	"\ i had too many alcohols last night "" _twitter-entity_ """	I was done got drank up last night!
3096	3096	this apple cheek qween canât take and itâs a ki ki ! #bitchswerve	1	1	this apple cheek qween canât take and itâs a ki ki ! #bitchswerve	This apple check queen can't take it and it's a knock-out! #bitchswerve
3097	3097	my phone won't let me answer ! text me kia	0	1	my phone won't let me answer ! text me kia	My phone won't let me answer! Please send me a text message.
3098	3098	people should see what i look like going to take my final oh godddd	1	0	people should see what i look like going to take my final oh godddd	People should see what I look like, 'bout to take my final, oh Lawd!
3099	3099	#inelementaryschool i remember making notes to the girls you liked and folding them in a a creative way ahh life before texting haha	1	0	#inelementaryschool i remember making notes to the girls you liked and folding them in a a creative way ahh life before texting haha	In elementary school, I 'member makin' notes to the girls I liked and folding 'em real creative-like. Ahh life 'fore texting, haha!
3100	3100	zah better sit her ass down and tend to her man . hell u going out with ya ex boo for ?	0	1	zah better sit her ass down and tend to her man . hell u going out with ya ex boo for ?	She'd better sit down and take care of her husband. Why is she going out with her ex-boyfriend?
3101	3101	someone bring me a charger	0	0	someone bring me a charger	Someone bring me a charger, dawg.
3102	3102	praise the lord and pass the panties	1	0	praise the lord and pass the panties	Praise the Lord and pass the drawers!
3103	3103	got on that scale and busted out a big	1	1	got on that scale and busted out a big	"‘ole grin

Got on that scale and had a huge smile on my face."
3104	3104	"\first i throw a 100 , then i throw a 50 , light skin dark skin i ain't never picky , she get to shacking , ass she get to shacking titties """""	0	1	"\first i throw a 100 , then i throw a 50 , light skin dark skin i ain't never picky , she get to shacking , ass she get to shacking titties """""	I first throw a hundred, then I throw a fifty; don't matter if it's light skin or dark skin, I'm not choosy; she starts to dance, her butt and her boobs start shaking.
3105	3105	_twitter-entity_ lmfao !!!!!!!!!	1	1	_twitter-entity_ lmfao !!!!!!!!!	Hahaha!!
3106	3106	awww cameron sleep	0	1	awww cameron sleep	"shoo

Oh, Cameron, go to sleep!"
3107	3107	sometimes i feel like i'm a child	0	1	sometimes i feel like i'm a child	"being raised by grown folks

Sometimes I feel like I'm a kid being raised by adults."
3108	3108	let's fucking figure this out right now before i go crazy .	0	0	let's fucking figure this out right now before i go crazy .	Let's figga dis out right now 'fore I go crazy, aight?
3109	3109	i'm such an asshole sometimes	1	0	i'm such an asshole sometimes	I be bein' a real fool sometimes.
3110	3110	_twitter-entity_ _twitter-entity_ do y'all remember when kimberly tried to do a toe touch at 4 am and knocked her hang off on the lights	1	0	_twitter-entity_ _twitter-entity_ do y'all remember when kimberly tried to do a toe touch at 4 am and knocked her hang off on the lights	"?

Y'all remember when Kimberly tried to do a toe touch at 4 am and knocked her hang off on the lights? 🤣😂"
3111	3111	i get to see _twitter-entity_ friday . words cannot express how excited i am !! these 3 weeks have been the longest ever . â¨	1	0	i get to see _twitter-entity_ friday . words cannot express how excited i am !! these 3 weeks have been the longest ever . â¨	I get to see _twitter-entity_ this Friday and ain't no words to explain how thrilled I am!! These three weeks have felt like the longest ever. â¨
3112	3112	my long week ... no days off & amp ; 2 jobs	0	1	my long week ... no days off & amp ; 2 jobs	My long week... no days off and two jobs.
3113	3113	_twitter-entity_ _twitter-entity_ lmao	1	1	_twitter-entity_ _twitter-entity_ lmao	Ha ha!
3114	3114	we know we're seductive _twitter-entity_	1	0	we know we're seductive _twitter-entity_	We know we be lookin' mighty fine.
3115	3115	why tf did terrell call out a girl and say she was cat fishing people .	1	0	why tf did terrell call out a girl and say she was cat fishing people .	Why Terrell callin' out a girl and sayin' she been catfishin' folks?
3116	3116	_twitter-entity_ i know lol	0	1	_twitter-entity_ i know lol	I know, ha-ha.
3117	3117	i miss _twitter-entity_	0	0	i miss _twitter-entity_	I be missin' _twitter-entity_.
3118	3118	â _twitter-entity_ : breaking : whites agree to get miley cyrus under control if blacks do the same with terio . â	1	1	â _twitter-entity_ : breaking : whites agree to get miley cyrus under control if blacks do the same with terio . â	"""_twitter-entity_: Breaking news: White people agree to take measures to monitor Miley Cyrus if Black people do the same with Terio."""
3119	3119	tweeting nothing but song lyrics all day now .	1	0	tweeting nothing but song lyrics all day now .	Tweetin' nothin' but song lyrics all day now.
3120	3120	save your fireworks for tomorrow !!! it's 1030 and i have to get up early !	0	0	save your fireworks for tomorrow !!! it's 1030 and i have to get up early !	Save yo' fireworks fo' tomorrow!!! It 'bout 10:30 an' I gots ta git up bright n' early!
3121	3121	8 miles later and i don't have to feel guilty about any of the feasting that i will be doing later	1	0	8 miles later and i don't have to feel guilty about any of the feasting that i will be doing later	8 miles later and I ain't gotta feel no guilt 'bout all of the feastin' I'm gonna be doin' later.
3122	3122	the conversations me and _twitter-entity_ have at work . i got that make the boys wanna me .	1	0	the conversations me and _twitter-entity_ have at work . i got that make the boys wanna me .	The conversations me and _twitter-entity_ got at work. I gots that make the boys wanna me.
3123	3123	i remember my og use to buy all my stuffnow i go drop sacks my damn self	1	1	i remember my og use to buy all my stuffnow i go drop sacks my damn self	I remember my guardian used to buy all my stuff for me, but now I have to go buy it all for myself.
3124	3124	bri fake asf	0	1	bri fake asf	That's phony as can be.
3125	3125	this break is going by too fast	0	0	this break is going by too fast	This break ain't lastin' long enough.
3126	3126	_twitter-entity_ , dikes be like .	1	1	_twitter-entity_ , dikes be like .	"..

Twitter users, women are like..."
3127	3127	i miss my girl	0	1	i miss my girl	I miss my girl.
3128	3128	today was the best day all week . for me and sarai	1	1	today was the best day all week . for me and sarai	Today was the greatest day of the week for both me and Sarai.
3129	3129	i can't stand this class	0	1	i can't stand this class	I absolutely despise this class.
3130	3130	i bet you won't _twitter-entity_ me	1	0	i bet you won't _twitter-entity_ me	I bet you won't @mention me.
3131	3131	being prego and sick is not the move !!!	0	1	being prego and sick is not the move !!!	Being pregnant and ill is not a good idea!!!
3132	3132	_twitter-entity_ i only need ten for mine	1	0	_twitter-entity_ i only need ten for mine	I only need ten fo' mine.
3133	3133	_twitter-entity_ not forreal ...	0	1	_twitter-entity_ not forreal ...	Not really...
3134	3134	if india dont know what im talking bout	1	1	if india dont know what im talking bout	"then they need to go back to school

If India doesn't understand what I'm talking about then they need to go back to school."
3135	3135	almost done taking my tree down	0	1	almost done taking my tree down	Almost done taking my tree down.
3136	3136	yo they roasting dwight	1	1	yo they roasting dwight	"real good don't they

They are really making fun of Dwight, aren't they?"
3137	3137	my dad just called my phone yelling at me about where i was , but ive been home in my room for the past hour ... #iminvisible	0	0	my dad just called my phone yelling at me about where i was , but ive been home in my room for the past hour ... #iminvisible	My dad just called my phone, losin' his mind 'bout where I was, but I've been kickin' it in my room for the past hour... #iminvisible.
3138	3138	_twitter-entity_ couldn't have been me	1	1	_twitter-entity_ couldn't have been me	It couldn't have been me.
3139	3139	bowling with _twitter-entity_ _twitter-entity_ _twitter-entity_ _twitter-entity_ _twitter-entity_ #suckingitup !!	1	0	bowling with _twitter-entity_ _twitter-entity_ _twitter-entity_ _twitter-entity_ _twitter-entity_ #suckingitup !!	Bowling with _twitter-entity_ _twitter-entity_ _twitter-entity_ _twitter-entity_ _twitter-entity_ #keepingitreal !!
3140	3140	took over 1000 pictures on my cousin's phone	1	0	took over 1000 pictures on my cousin's phone	"last week

I snapped ova a thousand pictures on my cuz's phone las' week."
3141	3141	"â _twitter-entity_ : \after all i do for you "" lmfaooooâ i thought i was the only one who heard that ! """	1	1	"â _twitter-entity_ : \after all i do for you "" lmfaooooâ i thought i was the only one who heard that ! """	"""_Twitter-entity_: After all I do for you, I thought I was the only one who heard that! Haha!"""
3142	3142	i've been eating nothing but oatmeal for that past couple days cause #outoffoood	0	0	i've been eating nothing but oatmeal for that past couple days cause #outoffoood	I been eatin' nothin' but oatmeal these last couple days 'cause #outoffoood.
3143	3143	â _twitter-entity_ : niggas gossip like bitches doi guess these niggas bitches tooâ	0	1	â _twitter-entity_ : niggas gossip like bitches doi guess these niggas bitches tooâ	"""_Twitter-entity_: People gossip like girls I guess these guys are like girls too."""
3144	3144	talking about the song	1	1	talking about the song	"sound like it was somethin

Talking about the song sounded like something."
3145	3145	it's to cold to be shopping . i wanna go home .	0	0	it's to cold to be shopping . i wanna go home .	It's too cold to be shoppin'. I wanna go home.
3146	3146	i don't wanna work today ... or tomorrow 2-10 is such a terrible shift !!	0	0	i don't wanna work today ... or tomorrow 2-10 is such a terrible shift !!	Ain't tryna work today... or tomorrow 2-10 is one the worst shifts!!
3147	3147	liyahh need to say yes , cause i'm stressing over here , ft ain't the same without them	0	1	liyahh need to say yes , cause i'm stressing over here , ft ain't the same without them	Liyah needs to say yes, because I'm getting really anxious here, it just doesn't feel the same without them.
3148	3148	i really cant believe him	0	1	i really cant believe him	I really can't believe him.
3149	3149	_twitter-entity_ send me craig number . i lost it .	0	1	_twitter-entity_ send me craig number . i lost it .	Send me Craig's number; I lost it.
3150	3150	_twitter-entity_ haha i heard complaining all morning	1	0	_twitter-entity_ haha i heard complaining all morning	Ha ha, I heard dem people been complainin' all mornin'!
3151	3151	gotta get up and go to work	0	0	gotta get up and go to work	Gotta get up and go to work, sho' nuff.
3152	3152	_twitter-entity_ actually laughed out loud , haha didn't realize how big it looked	1	0	_twitter-entity_ actually laughed out loud , haha didn't realize how big it looked	Yooooo, I _twitter-entity_ straight up cackled, 'cus I didn't know it was gonna be that big, haha!!
3153	3153	i'm really not that motivated to find a job	0	1	i'm really not that motivated to find a job	I'm not feeling very inspired to look for a job.
3154	3154	i'm so uncoordinated	1	0	i'm so uncoordinated	I'm so clumsy.
3155	3155	why do people think it's weird that i use vaseline on my lips ?	1	0	why do people think it's weird that i use vaseline on my lips ?	"""Why somebody gots ta think it's strange I use vaseline on my lips?"""
3156	3156	my fl really love me tho &gt; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ;	1	1	my fl really love me tho &gt; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ;	My family really loves me though.
3157	3157	omfg please tell me i wasn't the only one who just got shelby's video _twitter-entity_ _twitter-entity_	0	0	omfg please tell me i wasn't the only one who just got shelby's video _twitter-entity_ _twitter-entity_	Omfg please tell me I ain't the only one who jus got Shelby's video _twitter-entity_ _twitter-entity_
3158	3158	_twitter-entity_ i honestly would but ur grandma would probably try and fight me	1	0	_twitter-entity_ i honestly would but ur grandma would probably try and fight me	I honestly would, but yo' grandma would pro'ly try ta' scrap wit' me.
3159	3159	all as two bs . that's a 3.7 but i could've done betters	0	1	all as two bs . that's a 3.7 but i could've done betters	All As and two Bs - that's a 3.7, but I could've done better.
3160	3160	i hate when ppl ask me something then don't listen i.e manesja	0	1	i hate when ppl ask me something then don't listen i.e manesja	I really dislike it when people ask me something then don't pay attention to my response, you know? It's really frustrating.
3161	3161	_twitter-entity_ lol !! you too much .	0	1	_twitter-entity_ lol !! you too much .	Ha ha! You're hilarious!
3162	3162	me right now nextwhen im done â½	0	1	me right now nextwhen im done â½	I am going to do something next, and then I'll be finished.
3163	3163	i hate fake people !!! juhh gets tew mhee !	0	1	i hate fake people !!! juhh gets tew mhee !	I despise people who aren't genuine! It really bothers me!
3164	3164	_twitter-entity_ chill ctfu	1	1	_twitter-entity_ chill ctfu	Chill out, crack up!
3165	3165	3 hours of sleep last night	1	0	3 hours of sleep last night	"is not enough

3 hours of sleep last night ain't nearly enough."
3166	3166	_twitter-entity_ guud night	1	1	_twitter-entity_ guud night	", fam

Good night, family!"
3167	3167	_twitter-entity_ yo ass crazy	0	1	_twitter-entity_ yo ass crazy	You're really outrageous.
3168	3168	jameer you know my last name woodson so im guessing that tweet was for me . ?	1	1	jameer you know my last name woodson so im guessing that tweet was for me . ?	Jameer, do you recognize my last name, Woodson? I'm assuming that tweet was directed at me, right?
3169	3169	fuckkkkkk . why now . ughhhh . time for the mixed emotions & amp ; all that bullshit	0	1	fuckkkkkk . why now . ughhhh . time for the mixed emotions & amp ; all that bullshit	Oh man. Why now? Ugh... Time for the complicated feelings and all that stuff.
3170	3170	when i was 9 my mom trademarked a business i made up called craftykatycat how original	1	0	when i was 9 my mom trademarked a business i made up called craftykatycat how original	When I was 9, my mama trademarked a business I come up with called CraftyKatyCat--how original, right?
3171	3171	_twitter-entity_ always retweets stuff about having big boobs and i just think to myself how small mine are .	1	0	_twitter-entity_ always retweets stuff about having big boobs and i just think to myself how small mine are .	Twitter-entity always be retweetin' stuff 'bout havin' big 'ole boobies and I jus' be thinkin' to myself 'bout how lil mine is.
3172	3172	gonna be late to school	0	1	gonna be late to school	I'm going to be late to school.
3173	3173	the phone calls i get from junior crack me up	1	0	the phone calls i get from junior crack me up	The phone calls I get fromJunior have me dyin' wit' laughter!
3174	3174	i have a feeling brooks is gonna somehow come back and propose . i will bet someone just because i wanna believe	1	0	i have a feeling brooks is gonna somehow come back and propose . i will bet someone just because i wanna believe	"in it

I got a feelin' Brooks gonna somehow come back 'round and pop the question. I'd lay down a wager just 'cause I wanna have faith in it."
3175	3175	why can't people mind there own business . #furious	0	0	why can't people mind there own business . #furious	Why people gotta be up in my biz? #furious
3176	3176	â _twitter-entity_ : idk if im going to school today âcome to school	1	1	â _twitter-entity_ : idk if im going to school today âcome to school	I don't know if I'm going to come to school today.
3177	3177	i would never forget our little olive garden date but come back i miss you !	1	0	i would never forget our little olive garden date but come back i miss you !	I'ma nevah forget our lil' Olive Garden date, but bring yo' fine self back cuz I miss you!
3178	3178	shit got real	0	0	shit got real	Shit got serious!
3179	3179	your love is all i ever need	1	1	your love is all i ever need	Your love is all I ever require.
3180	3180	â _twitter-entity_ : _twitter-entity_ she be drawlin facetimin ppl nd textin â	1	1	â _twitter-entity_ : _twitter-entity_ she be drawlin facetimin ppl nd textin â	"""_Twitter-entity_: _Twitter-entity_ she's been Facetiming and texting people."""
3181	3181	â _twitter-entity_ : _twitter-entity_ madea goes to jail âyou a dh	1	1	â _twitter-entity_ : _twitter-entity_ madea goes to jail âyou a dh	"az



""_twitter-entity_: _twitter-entity_ Madea Goes To Jail"" - You already know!"
3182	3182	kendrick need to cut that noise down	0	1	kendrick need to cut that noise down	Kendrick needs to quiet down.
3183	3183	"â _twitter-entity_ : call me \big booty cassie "" for now on â what has the world come to """	0	1	"â _twitter-entity_ : call me \big booty cassie "" for now on â what has the world come to """	""" _Twitter-entity_ : Call me 'Big Booty Cassie' from now on. What has the world come to? """
3184	3184	_twitter-entity_ i wasn't tho	0	1	_twitter-entity_ i wasn't tho	I wasn't either.
3185	3185	grown up dating is so hard . i feel like a failure .	0	0	grown up dating is so hard . i feel like a failure .	Grown up datin' be so hard. I feel like a straight-up failure.
3186	3186	btw twitter i got my phone back	1	1	btw twitter i got my phone back	By the way, on Twitter, I got my phone back.
3187	3187	were gonna get a whole bunch of reviews this week #hateschool	0	0	were gonna get a whole bunch of reviews this week #hateschool	We gon' get a whole lotta reviews this week #hateschool
3188	3188	_twitter-entity_ i'm like dying haha make the laughter stop	1	0	_twitter-entity_ i'm like dying haha make the laughter stop	I'm 'bout dyin' ha ha, better cut that laughin' off!
3189	3189	another 4 hours in this car	0	0	another 4 hours in this car	"and we'll be out of here

Ain't no tellin' how much longer we gon' be in this car, but fo' sho' we gone be outta here in 'nother 4 hours."
3190	3190	my baby sick .. i hate seeing her like this !	0	1	my baby sick .. i hate seeing her like this !	My baby is not feeling well. It breaks my heart to see her suffering like this.
3191	3191	i can't deal wit _twitter-entity_ on my tl clowning	1	1	i can't deal wit _twitter-entity_ on my tl clowning	I can't handle _Twitter-entity_ cluttering up my timeline.
3192	3192	this nigga rapping , gtfoh	0	1	this nigga rapping , gtfoh	This person rapping, get out of here.
3193	3193	samty wildin ' man	0	1	samty wildin ' man	Samty really going crazy, man.
